data	7918
seismic	4820
velocity	4753
model	4515
method	3246
wave	3045
time	2647
term	2621
depth	2384
field	2296
migration	2272
reflection	2230
subject	2169
well	1957
equation	1927
source	1890
inversion	1804
survey	1769
frequency	1735
medium	1726
surface	1617
point	1550
analysis	1479
amplitude	1472
ray	1406
parameter	1385
function	1375
layer	1337
processing	1292
offset	1263
reservoir	1232
technique	1197
area	1193
trace	1177
problem	1122
signal	1118
receiver	1098
system	1094
algorithm	1081
structure	1066
geophysics	1051
example	1047
vertical	1030
set	982
modeling	966
rock	960
imaging	951
noise	934
response	916
phase	907
approach	900
based	900
zone	892
salt	875
wavelet	856
location	845
multiple	829
borehole	816
difference	810
event	805
order	797
property	791
prestack	787
application	786
interpretation	778
solution	777
resolution	777
process	776
magnetic	775
three	766
domain	766
direction	755
synthetic	748
exploration	748
coefficient	744
operator	740
avo	740
anisotropy	734
geophysical	732
component	732
error	725
angle	724
applied	716
boundary	710
complex	710
traveltime	710
reflector	709
variation	701
large	698
horizontal	698
result	690
gather	688
anomaly	667
acquisition	666
elastic	648
shot	644
value	641
fracture	638
shear	632
ratio	631
water	627
attenuation	627
resistivity	626
interval	618
dmo	613
interface	611
grid	610
plane	606
profile	606
porosity	600
map	591
density	589
second	587
constant	584
pwave	584
energy	581
pressure	579
geological	577
introduction	575
small	574
estimate	574
distribution	573
formation	572
condition	566
anisotropic	564
dip	559
conclusion	558
test	556
step	546
effect	546
approximation	543
sand	543
summary	540
log	538
acoustic	535
work	534
procedure	525
fault	524
feature	517
line	517
arrival	514
curve	506
fluid	502
volume	499
matrix	497
subsurface	491
quality	489
stack	487
propagation	483
linear	483
theory	480
space	479
m	479
single	475
oil	474
body	470
impedance	467
tomography	466
transform	464
calculated	464
region	464
site	463
gas	460
geometry	457
associated	455
mode	455
computed	453
correction	451
input	450
position	450
isotropic	449
attribute	448
filter	447
numerical	446
experiment	445
array	445
spectrum	441
correlation	439
inverse	438
migrated	437
top	436
earth	435
change	429
form	428
comparison	428
scheme	425
slowness	425
conductivity	421
defined	420
local	419
lower	418
factor	417
real	416
type	415
conventional	413
compression	411
recorded	405
project	405
scale	405
spatial	405
good	402
estimated	402
common	397
unit	396
presented	395
bottom	395
sea	388
section	388
total	387
maximum	387
higher	386
simple	383
level	382
estimation	381
target	379
clay	378
moveout	378
vector	377
normal	377
located	376
true	375
described	374
produce	374
initial	373
effective	373
provide	373
corresponding	371
primary	371
current	370
lateral	370
compared	369
abstract	366
developed	365
accurate	365
mapping	362
output	359
average	354
dispersion	354
tool	353
accuracy	352
radar	352
static	351
meter	351
record	351
derived	351
channel	349
stacking	348
better	347
deconvolution	347
vsp	347
wavefield	346
required	346
traveltimes	345
contrast	340
potential	339
sediment	337
integral	336
permeability	336
calculation	335
ft	333
ground	333
sequence	332
upper	328
background	327
production	327
determined	327
stress	326
reflectivity	326
parallel	325
image	325
relative	325
apparent	325
electromagnetic	325
sample	324
original	319
figure	318
kirchhoff	316
computation	314
travel	314
basin	314
sampling	313
direct	313
thickness	313
note	312
sandstone	312
cmp	310
em	310
element	309
finitedifference	309
distance	309
waveform	309
pattern	309
presence	307
general	306
standard	306
development	305
program	303
cost	303
north	302
finite	301
degree	301
edge	301
gradient	299
decomposition	298
structural	298
assumption	296
table	294
equivalent	294
physical	294
fourier	293
material	292
pore	292
axis	292
limit	290
generated	289
shale	286
swave	285
side	283
deposit	281
scattering	280
marine	280
objective	280
case	279
solid	279
crosswell	279
symmetry	275
refraction	275
zerooffset	274
tracing	273
group	273
main	272
